Date,sent,Ret,sent1,flag,sent2,sent3
2021-11-01 00:00:00+00:00,3.0,0.2104048255162297,1.0,1,1.0,0.0
2021-11-08 00:00:00+00:00,3.0,-0.046697629597112156,0.0,-1,0.0,0.0
2021-11-15 00:00:00+00:00,4.0,-0.030416544070179796,1.0,1,1.0,0.0
2021-11-22 00:00:00+00:00,3.0,-0.1419455289117038,-1.0,-1,0.0,1.0
2021-11-29 00:00:00+00:00,3.0,-0.022722157672798105,0.0,-1,0.0,0.0
2021-12-06 00:00:00+00:00,3.0,-0.12318905799953218,0.0,-1,0.0,0.0
2021-12-13 00:00:00+00:00,2.0,0.03771774579401664,-1.0,-1,0.0,1.0
2021-12-20 00:00:00+00:00,2.0,0.09476928844463432,0.0,-1,0.0,0.0
2021-12-27 00:00:00+00:00,2.0,-0.11561385275073015,0.0,-1,0.0,0.0
2022-01-03 00:00:00+00:00,2.0,-0.22503945096205377,0.0,-1,0.0,0.0
2022-01-10 00:00:00+00:00,3.0,0.048624928864501725,1.0,1,1.0,0.0
2022-01-17 00:00:00+00:00,3.0,-0.39529884696240164,0.0,-1,0.0,0.0
2022-01-24 00:00:00+00:00,3.0,-0.06514830840401183,0.0,-1,0.0,0.0
2022-01-31 00:00:00+00:00,3.0,0.2117401367292235,0.0,-1,0.0,0.0
2022-02-07 00:00:00+00:00,3.0,-0.21231452398213424,0.0,-1,0.0,0.0
2022-02-14 00:00:00+00:00,3.0,-0.025445267100887094,0.0,-1,0.0,0.0
2022-02-21 00:00:00+00:00,2.0,-0.06103638008283352,-1.0,-1,0.0,1.0
2022-02-28 00:00:00+00:00,2.0,-0.011488549153756057,0.0,-1,0.0,0.0
2022-03-07 00:00:00+00:00,2.0,-0.06861228978734346,0.0,-1,0.0,0.0
2022-03-14 00:00:00+00:00,2.0,0.11566124347585632,0.0,-1,0.0,0.0
2022-03-21 00:00:00+00:00,2.0,0.18931606626719313,0.0,-1,0.0,0.0
2022-03-28 00:00:00+00:00,2.0,0.24472401373114797,0.0,-1,0.0,0.0
2022-04-04 00:00:00+00:00,3.0,-0.2021430760040146,1.0,1,1.0,0.0
2022-04-11 00:00:00+00:00,2.0,-0.10693777260412787,-1.0,-1,0.0,1.0
